id:ID	:LABEL	comp	condition
decl;ENABLE_HAVE_ATOL;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ATOMICFILEREAD;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ATOMIC_GCC_BUILTIN;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ATOMIC_SOLARIS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ATOMIC_SUPPORT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ATOMIC_X86_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_BACKTRACE;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_BACKTRACE_SYMBOLS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_BREW;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_BSEARCH;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_CLOCK_GETTIME;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_CLOCK_MONOTONIC;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_COMPRESSION;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_CRYPTO;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_CRYPTO_IPP;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_CTIME_R;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_CTIME_R_3ARG;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_DIRECTIO;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_DIRENT_H;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_DTRACE;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_EPOLL;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ERROR_HISTORY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_EXECINFO_H;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FAILCHECK_BROADCAST;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FAILCHK_BROADCAST;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FCHMOD;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FCNTL;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FCNTL_F_SETFD;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FDATASYNC;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FILESYSTEM_NOTZERO;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FLOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_FTRUNCATE;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_GETADDRINFO;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_GETCWD;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_GETENV;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_GETOPT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_GETTIMEOFDAY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_GETUID;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_HASH;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_HEAP;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_HSTRERROR;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ISALPHA;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ISDIGIT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ISPRINT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_ISSPACE;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_LOCALTIME_R;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_LOG_CHECKSUM;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MEMCMP;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MEMCPY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MEMMOVE;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MIXED_SIZE_ADDRESSING;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MLOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MMAP;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MMAP_EXTEND;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUNLOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_68K_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_AIX_CHECK_LOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_ALPHA_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_ARM64_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_ARM_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_FCNTL;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_HPPA_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_HPPA_MSEM_INIT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_HYBRID;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_IA64_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_MIPS_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_PLAN9;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_PPC_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_PTHREADS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_RELIANTUNIX_INITSPIN;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_S390_CC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_S390_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SCO_X86_CC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SEMA_INIT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SGI_INIT_LOCK;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SOLARIS_LOCK_TRY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SOLARIS_LWP;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SPARC_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SUPPORT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_SYSTEM_RESOURCES;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_THREAD_ONLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_TRU64_CC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_UI_THREADS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_UTS_CC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_VMS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_VXWORKS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_WIN16;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_WIN32;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_WIN32_GCC;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_X86_64_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_MUTEX_X86_GCC_ASSEMBLY;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_NO_DB_REFCOUNT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_O_DIRECT;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_PARTITION;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_PERFMON_STATISTICS;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_POLL;;	cVariable	bdb/feature.h/	
decl;ENABLE_HAVE_PREAD;;	cVariable	bdb/feature.h/	
