id:ID	:LABEL	comp	condition
decl;CFG_IPCRM;;	cVariable	toybox/generated/	
decl;CFG_IPCS;;	cVariable	toybox/generated/	
decl;CFG_KILL;;	cVariable	toybox/generated/	
decl;CFG_KILLALL5;;	cVariable	toybox/generated/	
decl;CFG_KILLALL;;	cVariable	toybox/generated/	
decl;CFG_KLOGD;;	cVariable	toybox/generated/	
decl;CFG_KLOGD_SOURCE_RING_BUFFER;;	cVariable	toybox/generated/	
decl;CFG_LAST;;	cVariable	toybox/generated/	
decl;CFG_LINK;;	cVariable	toybox/generated/	
decl;CFG_LN;;	cVariable	toybox/generated/	
decl;CFG_LOAD_POLICY;;	cVariable	toybox/generated/	
decl;CFG_LOG;;	cVariable	toybox/generated/	
decl;CFG_LOGGER;;	cVariable	toybox/generated/	
decl;CFG_LOGIN;;	cVariable	toybox/generated/	
decl;CFG_LOGNAME;;	cVariable	toybox/generated/	
decl;CFG_LOSETUP;;	cVariable	toybox/generated/	
decl;CFG_LS;;	cVariable	toybox/generated/	
decl;CFG_LSATTR;;	cVariable	toybox/generated/	
decl;CFG_LSMOD;;	cVariable	toybox/generated/	
decl;CFG_LSOF;;	cVariable	toybox/generated/	
decl;CFG_LSPCI;;	cVariable	toybox/generated/	
decl;CFG_LSPCI_TEXT;;	cVariable	toybox/generated/	
decl;CFG_LSUSB;;	cVariable	toybox/generated/	
decl;CFG_LS_COLOR;;	cVariable	toybox/generated/	
decl;CFG_MAKEDEVS;;	cVariable	toybox/generated/	
decl;CFG_MD5SUM;;	cVariable	toybox/generated/	
decl;CFG_MDEV;;	cVariable	toybox/generated/	
decl;CFG_MDEV_CONF;;	cVariable	toybox/generated/	
decl;CFG_MICROCOM;;	cVariable	toybox/generated/	
decl;CFG_MIX;;	cVariable	toybox/generated/	
decl;CFG_MKDIR;;	cVariable	toybox/generated/	
decl;CFG_MKDIR_Z;;	cVariable	toybox/generated/	
decl;CFG_MKE2FS;;	cVariable	toybox/generated/	
decl;CFG_MKE2FS_EXTENDED;;	cVariable	toybox/generated/	
decl;CFG_MKE2FS_GEN;;	cVariable	toybox/generated/	
decl;CFG_MKE2FS_JOURNAL;;	cVariable	toybox/generated/	
decl;CFG_MKE2FS_LABEL;;	cVariable	toybox/generated/	
decl;CFG_MKFIFO;;	cVariable	toybox/generated/	
decl;CFG_MKFIFO_Z;;	cVariable	toybox/generated/	
decl;CFG_MKNOD;;	cVariable	toybox/generated/	
decl;CFG_MKNOD_Z;;	cVariable	toybox/generated/	
decl;CFG_MKPASSWD;;	cVariable	toybox/generated/	
decl;CFG_MKSWAP;;	cVariable	toybox/generated/	
decl;CFG_MKTEMP;;	cVariable	toybox/generated/	
decl;CFG_MODINFO;;	cVariable	toybox/generated/	
decl;CFG_MODPROBE;;	cVariable	toybox/generated/	
decl;CFG_MORE;;	cVariable	toybox/generated/	
decl;CFG_MOUNT;;	cVariable	toybox/generated/	
decl;CFG_MOUNTPOINT;;	cVariable	toybox/generated/	
decl;CFG_MV;;	cVariable	toybox/generated/	
decl;CFG_NBD_CLIENT;;	cVariable	toybox/generated/	
decl;CFG_NETCAT;;	cVariable	toybox/generated/	
decl;CFG_NETCAT_LISTEN;;	cVariable	toybox/generated/	
decl;CFG_NETSTAT;;	cVariable	toybox/generated/	
decl;CFG_NICE;;	cVariable	toybox/generated/	
decl;CFG_NL;;	cVariable	toybox/generated/	
decl;CFG_NOHUP;;	cVariable	toybox/generated/	
decl;CFG_NPROC;;	cVariable	toybox/generated/	
decl;CFG_NSENTER;;	cVariable	toybox/generated/	
decl;CFG_OD;;	cVariable	toybox/generated/	
decl;CFG_ONEIT;;	cVariable	toybox/generated/	
decl;CFG_OPENVT;;	cVariable	toybox/generated/	
decl;CFG_PARTPROBE;;	cVariable	toybox/generated/	
decl;CFG_PASSWD;;	cVariable	toybox/generated/	
decl;CFG_PASSWD_SAD;;	cVariable	toybox/generated/	
decl;CFG_PASTE;;	cVariable	toybox/generated/	
decl;CFG_PATCH;;	cVariable	toybox/generated/	
decl;CFG_PGREP;;	cVariable	toybox/generated/	
decl;CFG_PIDOF;;	cVariable	toybox/generated/	
decl;CFG_PING;;	cVariable	toybox/generated/	
decl;CFG_PIVOT_ROOT;;	cVariable	toybox/generated/	
decl;CFG_PKILL;;	cVariable	toybox/generated/	
decl;CFG_PMAP;;	cVariable	toybox/generated/	
decl;CFG_PRINTENV;;	cVariable	toybox/generated/	
decl;CFG_PRINTF;;	cVariable	toybox/generated/	
decl;CFG_PS;;	cVariable	toybox/generated/	
decl;CFG_PWD;;	cVariable	toybox/generated/	
decl;CFG_PWDX;;	cVariable	toybox/generated/	
decl;CFG_READAHEAD;;	cVariable	toybox/generated/	
decl;CFG_READLINK;;	cVariable	toybox/generated/	
decl;CFG_REALPATH;;	cVariable	toybox/generated/	
decl;CFG_REBOOT;;	cVariable	toybox/generated/	
decl;CFG_RENICE;;	cVariable	toybox/generated/	
decl;CFG_RESET;;	cVariable	toybox/generated/	
decl;CFG_RESTORECON;;	cVariable	toybox/generated/	
decl;CFG_REV;;	cVariable	toybox/generated/	
decl;CFG_RFKILL;;	cVariable	toybox/generated/	
decl;CFG_RM;;	cVariable	toybox/generated/	
decl;CFG_RMDIR;;	cVariable	toybox/generated/	
decl;CFG_RMMOD;;	cVariable	toybox/generated/	
decl;CFG_ROUTE;;	cVariable	toybox/generated/	
decl;CFG_RUNCON;;	cVariable	toybox/generated/	
decl;CFG_SED;;	cVariable	toybox/generated/	
decl;CFG_SENDEVENT;;	cVariable	toybox/generated/	
decl;CFG_SEQ;;	cVariable	toybox/generated/	
decl;CFG_SETENFORCE;;	cVariable	toybox/generated/	
decl;CFG_SETFATTR;;	cVariable	toybox/generated/	
decl;CFG_SETPROP;;	cVariable	toybox/generated/	
decl;CFG_SETSID;;	cVariable	toybox/generated/	
decl;CFG_SH;;	cVariable	toybox/generated/	
decl;CFG_SHA1SUM;;	cVariable	toybox/generated/	
decl;CFG_SHA224SUM;;	cVariable	toybox/generated/	
decl;CFG_SHA256SUM;;	cVariable	toybox/generated/	
decl;CFG_SHA384SUM;;	cVariable	toybox/generated/	
decl;CFG_SHA512SUM;;	cVariable	toybox/generated/	
decl;CFG_SHRED;;	cVariable	toybox/generated/	
decl;CFG_SKELETON;;	cVariable	toybox/generated/	
decl;CFG_SKELETON_ALIAS;;	cVariable	toybox/generated/	
decl;CFG_SLEEP;;	cVariable	toybox/generated/	
decl;CFG_SLEEP_FLOAT;;	cVariable	toybox/generated/	
decl;CFG_SORT;;	cVariable	toybox/generated/	
decl;CFG_SORT_BIG;;	cVariable	toybox/generated/	
decl;CFG_SORT_FLOAT;;	cVariable	toybox/generated/	
decl;CFG_SPLIT;;	cVariable	toybox/generated/	
decl;CFG_START;;	cVariable	toybox/generated/	
decl;CFG_STAT;;	cVariable	toybox/generated/	
decl;CFG_STOP;;	cVariable	toybox/generated/	
decl;CFG_STRINGS;;	cVariable	toybox/generated/	
decl;CFG_SU;;	cVariable	toybox/generated/	
decl;CFG_SULOGIN;;	cVariable	toybox/generated/	
decl;CFG_SWAPOFF;;	cVariable	toybox/generated/	
decl;CFG_SWAPON;;	cVariable	toybox/generated/	
decl;CFG_SWITCH_ROOT;;	cVariable	toybox/generated/	
decl;CFG_SYNC;;	cVariable	toybox/generated/	
decl;CFG_SYSCTL;;	cVariable	toybox/generated/	
decl;CFG_SYSLOGD;;	cVariable	toybox/generated/	
decl;CFG_TAC;;	cVariable	toybox/generated/	
decl;CFG_TAIL;;	cVariable	toybox/generated/	
decl;CFG_TAIL_SEEK;;	cVariable	toybox/generated/	
decl;CFG_TAR;;	cVariable	toybox/generated/	
decl;CFG_TASKSET;;	cVariable	toybox/generated/	
decl;CFG_TCPSVD;;	cVariable	toybox/generated/	
decl;CFG_TEE;;	cVariable	toybox/generated/	
decl;CFG_TELNET;;	cVariable	toybox/generated/	
decl;CFG_TELNETD;;	cVariable	toybox/generated/	
decl;CFG_TEST;;	cVariable	toybox/generated/	
decl;CFG_TEST_HUMAN_READABLE;;	cVariable	toybox/generated/	
decl;CFG_TEST_MANY_OPTIONS;;	cVariable	toybox/generated/	
decl;CFG_TEST_SCANKEY;;	cVariable	toybox/generated/	
decl;CFG_TEST_UTF8TOWC;;	cVariable	toybox/generated/	
decl;CFG_TFTP;;	cVariable	toybox/generated/	
decl;CFG_TFTPD;;	cVariable	toybox/generated/	
decl;CFG_TIME;;	cVariable	toybox/generated/	
decl;CFG_TIMEOUT;;	cVariable	toybox/generated/	
decl;CFG_TOP;;	cVariable	toybox/generated/	
decl;CFG_TOUCH;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_ANDROID_SCHEDPOLICY;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_CONTAINER;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_DEBUG;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_FALLOCATE;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_FIFREEZE;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_FLOAT;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_FORK;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_FREE;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_HELP;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_HELP_DASHDASH;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_I18N;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_ICONV;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_LIBCRYPTO;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_LIBZ;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_LSM_NONE;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_MUSL_NOMMU_IS_BROKEN;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_NORECURSE;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_ON_ANDROID;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_PEDANTIC_ARGS;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_PRLIMIT;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_SELINUX;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_SHADOW;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_SMACK;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_SUID;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_UID_SYS;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_UID_USR;;	cVariable	toybox/generated/	
decl;CFG_TOYBOX_UTMPX;;	cVariable	toybox/generated/	
decl;CFG_TR;;	cVariable	toybox/generated/	
decl;CFG_TRACEROUTE;;	cVariable	toybox/generated/	
decl;CFG_TRUE;;	cVariable	toybox/generated/	
decl;CFG_TRUNCATE;;	cVariable	toybox/generated/	
decl;CFG_TTY;;	cVariable	toybox/generated/	
decl;CFG_TUNCTL;;	cVariable	toybox/generated/	
decl;CFG_ULIMIT;;	cVariable	toybox/generated/	
decl;CFG_UMOUNT;;	cVariable	toybox/generated/	
decl;CFG_UNAME;;	cVariable	toybox/generated/	
decl;CFG_UNIQ;;	cVariable	toybox/generated/	
decl;CFG_UNIX2DOS;;	cVariable	toybox/generated/	
decl;CFG_UNLINK;;	cVariable	toybox/generated/	
decl;CFG_UNSHARE;;	cVariable	toybox/generated/	
decl;CFG_UPTIME;;	cVariable	toybox/generated/	
decl;CFG_USERADD;;	cVariable	toybox/generated/	
decl;CFG_USERDEL;;	cVariable	toybox/generated/	
decl;CFG_USLEEP;;	cVariable	toybox/generated/	
decl;CFG_UUDECODE;;	cVariable	toybox/generated/	
decl;CFG_UUENCODE;;	cVariable	toybox/generated/	
decl;CFG_VCONFIG;;	cVariable	toybox/generated/	
decl;CFG_VI;;	cVariable	toybox/generated/	
decl;CFG_VMSTAT;;	cVariable	toybox/generated/	
decl;CFG_W;;	cVariable	toybox/generated/	
decl;CFG_WATCH;;	cVariable	toybox/generated/	
decl;CFG_WC;;	cVariable	toybox/generated/	
decl;CFG_WGET;;	cVariable	toybox/generated/	
decl;CFG_WHICH;;	cVariable	toybox/generated/	
decl;CFG_WHO;;	cVariable	toybox/generated/	
decl;CFG_WHOAMI;;	cVariable	toybox/generated/	
decl;CFG_XARGS;;	cVariable	toybox/generated/	
decl;CFG_XARGS_PEDANTIC;;	cVariable	toybox/generated/	
decl;CFG_XXD;;	cVariable	toybox/generated/	
decl;CFG_XZCAT;;	cVariable	toybox/generated/	
decl;CFG_YES;;	cVariable	toybox/generated/	
decl;CFG_ZCAT;;	cVariable	toybox/generated/	
decl;CM_OFF;;	cVariable	toybox/toys/pending/	
decl;CM_ON;;	cVariable	toybox/toys/pending/	
decl;CM_TRY;;	cVariable	toybox/toys/pending/	
decl;CP_context;;	cVariable	toybox/generated/	
decl;CP_mode;;	cVariable	toybox/generated/	
decl;CP_ownership;;	cVariable	toybox/generated/	
decl;CP_timestamps;;	cVariable	toybox/generated/	
decl;CP_xattr;;	cVariable	toybox/generated/	
decl;CTRLALTDEL;;	cVariable	toybox/toys/pending/	
decl;C_FSYNC;;	cVariable	toybox/toys/pending/	
decl;C_NOERROR;;	cVariable	toybox/toys/pending/	
decl;C_NOTRUNC;;	cVariable	toybox/toys/pending/	
decl;C_SYNC;;	cVariable	toybox/toys/pending/	
decl;DATABUFSIZE;;	cVariable	toybox/toys/pending/	
decl;DBASE_SIZE;;	cVariable	toybox/toys/pending/	
decl;DEFAULT_PREFIXLEN;;	cVariable	toybox/toys/pending/	
decl;DHCP6ADVERTISE;;	cVariable	toybox/toys/pending/	
decl;DHCP6CONFIRM;;	cVariable	toybox/toys/pending/	
decl;DHCP6DECLINE;;	cVariable	toybox/toys/pending/	
decl;DHCP6INFOREQUEST;;	cVariable	toybox/toys/pending/	
decl;DHCP6REBIND;;	cVariable	toybox/toys/pending/	
decl;DHCP6RECONFIGURE;;	cVariable	toybox/toys/pending/	
decl;DHCP6RELAYFLOW;;	cVariable	toybox/toys/pending/	
decl;DHCP6RELAYREPLY;;	cVariable	toybox/toys/pending/	
decl;DHCP6RELEASE;;	cVariable	toybox/toys/pending/	
decl;DHCP6RENEW;;	cVariable	toybox/toys/pending/	
decl;DHCP6REPLY;;	cVariable	toybox/toys/pending/	
decl;DHCP6REQUEST;;	cVariable	toybox/toys/pending/	
decl;DHCP6SOLICIT;;	cVariable	toybox/toys/pending/	
decl;DHCP6_DUID_EN;;	cVariable	toybox/toys/pending/	
decl;DHCP6_DUID_LL;;	cVariable	toybox/toys/pending/	
decl;DHCP6_DUID_LLT;;	cVariable	toybox/toys/pending/	
decl;DHCP6_DUID_UUID;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_CLIENTID;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_ELAPSED_TIME;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_IA_ADDR;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_IA_NA;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_IA_PD;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_IA_PREFIX;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_ORO;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_PREFERENCE;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_RELAY_MSG;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_SERVERID;;	cVariable	toybox/toys/pending/	
decl;DHCP6_OPT_STATUS_CODE;;	cVariable	toybox/toys/pending/	
decl;DHCP6_STATUS_NOADDRSAVAIL;;	cVariable	toybox/toys/pending/	
decl;DHCP6_STATUS_SUCCESS;;	cVariable	toybox/toys/pending/	
decl;DHCPACK;;	cVariable	toybox/toys/pending/	
decl;DHCPC_CLIENT_PORT;;	cVariable	toybox/toys/pending/	
decl;DHCPC_SERVER_PORT;;	cVariable	toybox/toys/pending/	
decl;DHCPDECLINE;;	cVariable	toybox/toys/pending/	
decl;DHCPDISCOVER;;	cVariable	toybox/toys/pending/	
decl;DHCPINFORM;;	cVariable	toybox/toys/pending/	
decl;DHCPNAK;;	cVariable	toybox/toys/pending/	
decl;DHCPOFFER;;	cVariable	toybox/toys/pending/	
decl;DHCPRELEASE;;	cVariable	toybox/toys/pending/	
decl;DHCPREQUEST;;	cVariable	toybox/toys/pending/	
decl;DHCP_HTYPE_ETHERNET;;	cVariable	toybox/toys/pending/	
decl;DHCP_IP;;	cVariable	toybox/toys/pending/	
decl;DHCP_IPLIST;;	cVariable	toybox/toys/pending/	
decl;DHCP_IPPLST;;	cVariable	toybox/toys/pending/	
decl;DHCP_MAGIC;;	cVariable	toybox/toys/pending/	
decl;DHCP_NUM16;;	cVariable	toybox/toys/pending/	
decl;DHCP_NUM32;;	cVariable	toybox/toys/pending/	
decl;DHCP_NUM8;;	cVariable	toybox/toys/pending/	
decl;DHCP_OPTION_BROADCAST;;	cVariable	toybox/toys/pending/	
decl;DHCP_OPTION_CLIENTID;;	cVariable	toybox/toys/pending/	
decl;DHCP_OPTION_DNS_SERVER;;	cVariable	toybox/toys/pending/	
decl;DHCP_OPTION_END;;	cVariable	toybox/toys/pending/	
